PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.OrganismId,[1] EV_071A_R1_S2-A1_1_9412.d.PG.Quantity,[2] EV_071A_R2_S2-A2_1_9413.d.PG.Quantity,[3] EV_071A_R3_S2-A3_1_9414.d.PG.Quantity,[4] EV_071A_R4_S2-A4_1_9415.d.PG.Quantity
A0A075B6S5,IGKV1-27,Immunoglobulin kappa variable 1-27,KV127_HUMAN,9606,52.34194565,60.23231888,36.21678925,71.65348816
A0A075B6S9;P0DSN7,IGKV1-37;IGKV1D-37,Probable non-functional immunoglobulinn kappa variable 1-37;Probable non-functional immunoglobulinn kappa variable 1D-37,KV137_HUMAN;KVD37_HUMAN,9606,326.8707581,415.6685791,388.3782959,500.0054932
A0A087WSY4,IGHV4-30-2,Immunoglobulin heavy variable 4-30-2,HV432_HUMAN,9606,220.8471985,256.2545166,219.3462219,336.4866943
A0A087WSY6,IGKV3D-15,Immunoglobulin kappa variable 3D-15,KVD15_HUMAN,9606,1130.793457,2319.92334,1263.019043,1989.376465
A0A087WSZ0,IGKV1D-8,Immunoglobulin kappa variable 1D-8,KVD08_HUMAN,9606,21.25119591,29.76050949,15.3264513,35.60634995
A0A096LP49,CCDC187,Coiled-coil domain-containing protein 187,CC187_HUMAN,9606,263.9094543,233.6283264,193.5077209,275.7209473
A0A0A0MRZ8;P04433,IGKV3D-11;IGKV3-11,Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11,KVD11_HUMAN;KV311_HUMAN,9606,5304.829102,7075.196777,5384.824219,7159.150391
A0A0A0MS15,IGHV3-49,Immunoglobulin heavy variable 3-49,HV349_HUMAN,9606,613.8210449,1125.166748,607.550354,1009.883667
A0A0A0MT36,IGKV6D-21,Immunoglobulin kappa variable 6D-21,KVD21_HUMAN,9606,43.30411911,89.40607452,36.95675278,107.8262253
A0A0A0MT89,IGKJ1,Immunoglobulin kappa joining 1,KJ01_HUMAN,9606,105.9496689,145.2958069,115.5626831,132.2329102
A0A0B4J1U3,IGLV1-36,Immunoglobulin lambda variable 1-36,LV136_HUMAN,9606,32.46673965,38.5127449,17.44423676,25.46597672
A0A0B4J1U7,IGHV6-1,Immunoglobulin heavy variable 6-1,HV601_HUMAN,9606,360.2468872,708.2754517,465.5343933,746.5462036
A0A0B4J1V0,IGHV3-15,Immunoglobulin heavy variable 3-15,HV315_HUMAN,9606,163.4749603,208.2032013,124.2742004,198.7940521
A0A0B4J1V2,IGHV2-26,Immunoglobulin heavy variable 2-26,HV226_HUMAN,9606,339.394043,603.3582153,336.9242554,480.2948303
A0A0B4J1V6,IGHV3-73,Immunoglobulin heavy variable 3-73,HV373_HUMAN,9606,2061.053955,3977.286133,2282.784912,3226.227295
A0A0B4J1X5,IGHV3-74,Immunoglobulin heavy variable 3-74,HV374_HUMAN,9606,1181.010864,1851.830078,1164.520386,1914.296631
A0A0B4J1Y8,IGLV9-49,Immunoglobulin lambda variable 9-49,LV949_HUMAN,9606,1117.711792,2072.804932,1013.167786,2049.370361
A0A0B4J1Y9,IGHV3-72,Immunoglobulin heavy variable 3-72,HV372_HUMAN,9606,112.6152191,291.9227905,99.79612732,223.6618805
A0A0B4J2D5;P0DPI2,GATD3B;GATD3,"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial",GAL3B_HUMAN;GAL3A_HUMAN,9606,217.3758392,369.4367676,237.5287323,531.3520508
A0A0B4J2D9;P0DP09,IGKV1D-13;IGKV1-13,Immunoglobulin kappa variable 1D-13;Immunoglobulin kappa variable 1-13,KVD13_HUMAN;KV113_HUMAN,9606,33.68647385,67.08312225,23.35346985,35.45303726
A0A0C4DH24,IGKV6-21,Immunoglobulin kappa variable 6-21,KV621_HUMAN,9606,74.62878418,164.1685791,75.64025116,142.179657
A0A0C4DH25,IGKV3D-20,Immunoglobulin kappa variable 3D-20,KVD20_HUMAN,9606,1743.221069,3402.262207,2313.384033,3815.195068
A0A0C4DH29,IGHV1-3,Immunoglobulin heavy variable 1-3,HV103_HUMAN,9606,93.73519135,244.1124573,92.7230835,161.4855042
A0A0C4DH31,IGHV1-18,Immunoglobulin heavy variable 1-18,HV118_HUMAN,9606,48.3657341,106.341835,42.54685593,83.16733551
A0A0C4DH33,IGHV1-24,Immunoglobulin heavy variable 1-24,HV124_HUMAN,9606,4.102852821,8.724896431,2.194750786,3.594039917
A0A0C4DH34,IGHV4-28,Immunoglobulin heavy variable 4-28,HV428_HUMAN,9606,411.4203491,665.8908081,365.7417603,648.5184326
A0A0C4DH35,IGHV3-35,Probable non-functional immunoglobulin heavy variable 3-35,HV335_HUMAN,9606,5.504566193,31.76530647,13.64519215,23.72726822
A0A0C4DH36,IGHV3-38,Probable non-functional immunoglobulin heavy variable 3-38,HV338_HUMAN,9606,379.7154541,423.0774536,292.7335815,567.4759521
A0A0C4DH38,IGHV5-51,Immunoglobulin heavy variable 5-51,HV551_HUMAN,9606,524.0387573,832.8476563,495.4545288,931.8098145
A0A0C4DH39,IGHV1-58,Immunoglobulin heavy variable 1-58,HV158_HUMAN,9606,NaN,13.18759155,12.68027973,20.02973175
A0A0C4DH41;P01825,IGHV4-61;IGHV4-59,Immunoglobulin heavy variable 4-61;Immunoglobulin heavy variable 4-59,HV461_HUMAN;HV459_HUMAN,9606,32.01380157,21.23324203,15.90686226,31.09325981
A0A0C4DH43,IGHV2-70D,Immunoglobulin heavy variable 2-70D,HV70D_HUMAN,9606,258.6888733,435.4446411,246.1355591,459.8097534
A0A0C4DH67,IGKV1-8,Immunoglobulin kappa variable 1-8,KV108_HUMAN,9606,130.9792175,257.223877,94.0357666,181.1627502
A0A0C4DH73;P01611,IGKV1-12;IGKV1D-12,Immunoglobulin kappa variable 1-12;Immunoglobulin kappa variable 1D-12,KV112_HUMAN;KVD12_HUMAN,9606,183.7703705,410.0808716,209.5243683,281.7710571
A0A0J9YX35,IGHV3-64D,Immunoglobulin heavy variable 3-64D,HV64D_HUMAN,9606,305.4954224,534.4971924,302.0601807,644.364624
A0A0J9YXX1,IGHV5-10-1,Immunoglobulin heavy variable 5-10-1,HV5X1_HUMAN,9606,615.6374512,775.7538452,484.1492004,850.81604
A0A1B0GTU1;P0DQW0,ZC3H11B;ZC3H11C,Zinc finger CCCH domain-containing protein 11B;Zinc finger CCCH domain-containing protein 11C,ZC11B_HUMAN;ZC11C_HUMAN,9606,135.1036377,200.5702515,41.04343414,228.1264496
A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,UBA6_HUMAN,9606,84.05536652,167.782074,59.26498413,160.5870209
A0FGR8,ESYT2,Extended synaptotagmin-2,ESYT2_HUMAN,9606,470.5235596,851.3703613,371.1359863,1101.18042
A0M8Q6,IGLC7,Immunoglobulin lambda constant 7,IGLC7_HUMAN,9606,6080.116699,11691.24316,5691.275391,9434.553711
A1A4S6,ARHGAP10,Rho GTPase-activating protein 10,RHG10_HUMAN,9606,35.33872986,52.90795517,19.59334373,58.75563812
A1A5C7,SLC22A23,Solute carrier family 22 member 23,S22AN_HUMAN,9606,23.08883476,26.19482231,NaN,59.50575638
A1L0T0,ILVBL,2-hydroxyacyl-CoA lyase 2,HACL2_HUMAN,9606,25.02597237,63.6540184,26.7504425,60.99196243
A1L3X0,ELOVL7,Very long chain fatty acid elongase 7,ELOV7_HUMAN,9606,47.16794968,114.9411163,53.51568604,135.0032654
A1X283,SH3PXD2B,SH3 and PX domain-containing protein 2B,SPD2B_HUMAN,9606,42.15879059,67.800354,34.80203629,68.64679718
A2RRP1,NBAS,NBAS subunit of NRZ tethering complex,NBAS_HUMAN,9606,57.56658554,100.7738876,47.52497482,107.171196
A2RUS2,DENND3,DENN domain-containing protein 3,DEND3_HUMAN,9606,141.175705,231.3317261,108.2448578,300.7158508
A3KMH1,VWA8,von Willebrand factor A domain-containing protein 8,VWA8_HUMAN,9606,9.273907661,18.97436333,NaN,8.140292168
A4D1B5,GSAP,Gamma-secretase-activating protein,GSAP_HUMAN,9606,19.19173813,30.74533081,13.64417458,24.86294937
A4D1P6,WDR91,WD repeat-containing protein 91,WDR91_HUMAN,9606,14.88570309,17.55448914,15.38222599,27.07952118
A5PLL7,PEDS1,Plasmanylethanolamine desaturase 1,PDES1_HUMAN,9606,42.02156067,66.77516937,29.99923325,58.66711426
A5PLN9,TRAPPC13,Trafficking protein particle complex subunit 13,TPC13_HUMAN,9606,18.20215607,25.57851791,11.05112553,43.44984055
A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,CNOT1_HUMAN,9606,22.92325592,37.16584396,13.56265736,47.59776688
A6NDG6,PGP,Glycerol-3-phosphate phosphatase,PGP_HUMAN,9606,61.08183289,75.69074249,39.44511414,101.9343567
A6NDU8,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,RIMC1_HUMAN,9606,14.34601498,18.83614159,13.1368866,24.76999283
A6NH11,GLTPD2,Glycolipid transfer protein domain-containing protein 2,GLTD2_HUMAN,9606,196.5526581,283.9700012,154.4224243,275.4285278
A6NHL2,TUBAL3,Tubulin alpha chain-like 3,TBAL3_HUMAN,9606,87.61604309,101.8738251,35.0872879,117.4869232
A6NI72;A8MVU1;P14598,NCF1B;NCF1C;NCF1,Putative neutrophil cytosol factor 1B;Putative neutrophil cytosol factor 1C;Neutrophil cytosol factor 1,NCF1B_HUMAN;NCF1C_HUMAN;NCF1_HUMAN,9606,16.40136909,36.62430954,14.72319317,12.00298786
A6NKX1;Q8IWN6,FAM223B;FAM223A,Protein FAM223B;Protein FAM223A,F223B_HUMAN;F223A_HUMAN,9606,51.45044708,82.26694489,45.1872406,103.7180634
A6QL63,ABTB3,Ankyrin repeat and BTB/POZ domain-containing protein 3,ABTB3_HUMAN,9606,38.11818314,45.04608154,22.45153236,53.60384369
A7E2V4,ZSWIM8,Zinc finger SWIM domain-containing protein 8,ZSWM8_HUMAN,9606,21.40345383,38.36981201,12.97878551,NaN
A8K0Z3;C4AMC7;Q6VEQ5,WASHC1;WASH3P;WASH2P,WASH complex subunit 1;Putative WAS protein family homolog 3;WAS protein family homolog 2,WASH1_HUMAN;WASH3_HUMAN;WASH2_HUMAN,9606,27.73292732,44.11171722,26.55367661,48.216259
A8MWD9;P62308,SNRPGP15;SNRPG,Putative small nuclear ribonucleoprotein G-like protein 15;Small nuclear ribonucleoprotein G,RUXGL_HUMAN;RUXG_HUMAN,9606,27.12769127,37.23123932,16.89541245,48.03577805
A8MXV4,NUDT19,Acyl-coenzyme A diphosphatase NUDT19,NUD19_HUMAN,9606,9.557416916,20.83527374,7.845863342,9.05801487
B0I1T2,MYO1G,Unconventional myosin-Ig,MYO1G_HUMAN,9606,33.16007233,48.79624176,20.4430542,59.70666122
B0YJ81,HACD1,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1,HACD1_HUMAN,9606,35.94193268,35.17703629,31.631567,41.98114014
B2RUZ4,SMIM1,Small integral membrane protein 1,SMIM1_HUMAN,9606,114.9992447,196.2394104,121.6107559,229.0613251
B5ME19;Q99613,EIF3CL;EIF3C,Eukaryotic translation initiation factor 3 subunit C-like protein;Eukaryotic translation initiation factor 3 subunit C,EIFCL_HUMAN;EIF3C_HUMAN,9606,91.80039215,156.4370422,89.73454285,226.3075562
B7ZAQ6;P0CG08,GPR89A;GPR89B,Golgi pH regulator A;Golgi pH regulator B,GPHRA_HUMAN;GPHRB_HUMAN,9606,21.16056633,35.78483963,11.61596012,37.1311264
E9PAV3;Q13765,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha",NACAM_HUMAN;NACA_HUMAN,9606,24.59299278,32.49582291,19.35430908,52.67062759
L0R6Q1,SLC35A4,SLC35A4 upstream open reading frame protein,S35U4_HUMAN,9606,14.33649254,42.26896286,10.7848959,56.65805054
O00116,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",ADAS_HUMAN,9606,48.67347717,105.5577545,47.66358185,105.4787598
O00139,KIF2A,Kinesin-like protein KIF2A,KIF2A_HUMAN,9606,566.9639893,937.4835205,411.7546082,1117.289917
O00142,TK2,"Thymidine kinase 2, mitochondrial",KITM_HUMAN,9606,45.61491776,52.40211868,41.61068726,94.7277298
O00151,PDLIM1,PDZ and LIM domain protein 1,PDLI1_HUMAN,9606,12891.16699,17639.0332,11153.88574,10267.7959
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,BACH_HUMAN,9606,32.22837067,57.69658279,27.34002686,46.78689957
O00159,MYO1C,Unconventional myosin-Ic,MYO1C_HUMAN,9606,232.9906769,343.1138611,182.3532257,423.2709045
O00160,MYO1F,Unconventional myosin-If,MYO1F_HUMAN,9606,13.98309422,12.9544239,7.233382225,23.96009636
O00161,SNAP23,Synaptosomal-associated protein 23,SNP23_HUMAN,9606,638.2461548,981.8251953,561.7268677,1339.86145
O00170,AIP,AH receptor-interacting protein,AIP_HUMAN,9606,54.11209106,63.1994133,42.18347168,74.09942627
O00178,GTPBP1,GTP-binding protein 1,GTPB1_HUMAN,9606,462.8007813,760.923645,337.822876,760.3034668
O00186,STXBP3,Syntaxin-binding protein 3,STXB3_HUMAN,9606,143.8067322,237.6805115,113.8408127,261.325592
O00187,MASP2,Mannan-binding lectin serine protease 2,MASP2_HUMAN,9606,3327.865479,5690.085449,3355.098633,6765.998047
O00194,RAB27B,Ras-related protein Rab-27B,RB27B_HUMAN,9606,5596.071777,8894.855469,5647.485352,13374.81641
O00203,AP3B1,AP-3 complex subunit beta-1,AP3B1_HUMAN,9606,110.384819,204.9573975,95.04261017,234.7363586
O00217,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUS8_HUMAN,9606,100.3494492,157.2713165,89.07089996,269.1660461
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,PSD11_HUMAN,9606,200.8152008,339.0365906,199.4733429,439.7393188
O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12,PSD12_HUMAN,9606,190.1724854,264.9385986,126.8575592,333.7640686
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,PSMD9_HUMAN,9606,54.81228256,63.84672165,62.76309586,65.07514954
O00258,GET1,Guided entry of tail-anchored proteins factor 1,GET1_HUMAN,9606,16.08236504,43.61271667,18.10571098,64.6882019
O00264,PGRMC1,Membrane-associated progesterone receptor component 1,PGRC1_HUMAN,9606,1103.462524,1718.412109,1177.237915,2543.983643
O00299,CLIC1,Chloride intracellular channel protein 1,CLIC1_HUMAN,9606,1137.330078,1771.469482,971.6573486,1683.98877
O00303,EIF3F,Eukaryotic translation initiation factor 3 subunit F,EIF3F_HUMAN,9606,53.05175018,79.95291138,45.86217117,119.4156952
O00330,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",ODPX_HUMAN,9606,35.31565475,54.65106201,38.37271881,75.47209167
O00391,QSOX1,Sulfhydryl oxidase 1,QSOX1_HUMAN,9606,3367.048096,5407.108887,3432.247803,4083.002441
O00400,SLC33A1,Acetyl-coenzyme A transporter 1,ACATN_HUMAN,9606,35.5271225,48.71491623,27.11856842,40.01004028
O00410,IPO5,Importin-5,IPO5_HUMAN,9606,76.14186096,120.0275726,55.0355835,137.6161652
O00425,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,IF2B3_HUMAN,9606,46.30675888,67.00450134,36.15995789,102.1280212
O00429,DNM1L,Dynamin-1-like protein,DNM1L_HUMAN,9606,609.8654175,908.3822021,445.1281128,991.5309448
O00442,RTCA,RNA 3'-terminal phosphate cyclase,RTCA_HUMAN,9606,33.94645691,37.94356918,22.81715202,31.58910179
O00453,LST1,Leukocyte-specific transcript 1 protein,LST1_HUMAN,9606,37.1462059,79.54650116,52.14325714,150.1086884
O00461,GOLIM4,Golgi integral membrane protein 4,GOLI4_HUMAN,9606,26.28337479,40.0344696,30.42557526,53.8824501
O00468,AGRN,Agrin,AGRIN_HUMAN,9606,17.68229485,22.27801132,16.32273102,30.4738903
O00469,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",PLOD2_HUMAN,9606,19.03378868,38.57175827,6.707612038,19.69599915
O00471,EXOC5,Exocyst complex component 5,EXOC5_HUMAN,9606,37.27490234,66.33356476,31.93975067,88.04619598
O00481,BTN3A1,Butyrophilin subfamily 3 member A1,BT3A1_HUMAN,9606,13.56764793,25.56146049,14.46176624,30.58335686
O00483,NDUFA4,Cytochrome c oxidase subunit NDUFA4,NDUA4_HUMAN,9606,250.8449097,512.1108398,296.2871704,670.3337402
O00487,PSMD14,26S proteasome non-ATPase regulatory subunit 14,PSDE_HUMAN,9606,126.6602783,184.1038361,95.99505615,232.0362701
O00501,CLDN5,Claudin-5,CLD5_HUMAN,9606,167.8132324,324.2010193,163.9260101,454.3084412
O00505,KPNA3,Importin subunit alpha-4,IMA4_HUMAN,9606,20.07524109,47.64519501,6.916464329,38.67471313
O00534,VWA5A,von Willebrand factor A domain-containing protein 5A,VMA5A_HUMAN,9606,196.2390442,333.2056885,145.4560089,327.1914063
O00560,SDCBP,Syntenin-1,SDCB1_HUMAN,9606,20.85491943,31.55480576,14.76633644,50.12905884
O00571,DDX3X,ATP-dependent RNA helicase DDX3X,DDX3X_HUMAN,9606,88.02607727,182.624588,77.17933655,130.8466492
O00585,CCL21,C-C motif chemokine 21,CCL21_HUMAN,9606,9.551335335,12.73192978,2.539027929,NaN
O00587,MFNG,"Beta-1,3-N-acetylglucosaminyltransferase manic fringe",MFNG_HUMAN,9606,11.13293362,28.30100632,11.82046413,20.68820381
O00602,FCN1,Ficolin-1,FCN1_HUMAN,9606,261.4243774,323.389679,219.1853027,292.952301
O00626,CCL22,C-C motif chemokine 22,CCL22_HUMAN,9606,9.90249157,42.33883667,9.526785851,18.60596466
O00743,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,PPP6_HUMAN,9606,101.9447098,143.6543121,67.45401764,157.9631805
O00746,NME4,"Nucleoside diphosphate kinase, mitochondrial",NDKM_HUMAN,9606,37.39524078,63.95404434,51.72172165,86.07423401
O00754,MAN2B1,Lysosomal alpha-mannosidase,MA2B1_HUMAN,9606,34.79693985,34.31307983,19.80382729,82.3927002
O14521,SDHD,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",DHSD_HUMAN,9606,18.34508133,45.03395081,25.5887394,53.01044083
O14523,C2CD2L,Phospholipid transfer protein C2CD2L,C2C2L_HUMAN,9606,44.77700043,93.14470673,29.59157944,96.17021942
O14530,TXNDC9,Thioredoxin domain-containing protein 9,TXND9_HUMAN,9606,18.8613739,31.53639603,20.03275108,32.30355072
O14545,TRAFD1,TRAF-type zinc finger domain-containing protein 1,TRAD1_HUMAN,9606,47.07740784,97.75174713,45.27399826,64.83339691
O14548,COX7A2L,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",COX7R_HUMAN,9606,75.59197235,103.5026932,76.91117859,163.2636414
O14561,NDUFAB1,"Acyl carrier protein, mitochondrial",ACPM_HUMAN,9606,10.54555225,16.08836555,10.0763855,24.21416092
O14569,CYB561D2,Transmembrane reductase CYB561D2,C56D2_HUMAN,9606,17.16438675,24.41114426,10.0096674,49.53520584
O14579,COPE,Coatomer subunit epsilon,COPE_HUMAN,9606,97.91384125,130.1069183,94.58432007,171.9599457
O14602;P47813,EIF1AY;EIF1AX,"Eukaryotic translation initiation factor 1A, Y-chromosomal;Eukaryotic translation initiation factor 1A, X-chromosomal",IF1AY_HUMAN;IF1AX_HUMAN,9606,56.79432678,102.3389587,48.5067482,79.29227448
O14617,AP3D1,AP-3 complex subunit delta-1,AP3D1_HUMAN,9606,63.42767715,125.3166046,50.06997681,134.6087189
O14618,CCS,Copper chaperone for superoxide dismutase,CCS_HUMAN,9606,193.6633148,265.293457,136.7463837,327.0194397
O14639,ABLIM1,Actin-binding LIM protein 1,ABLM1_HUMAN,9606,65.79761505,91.12064362,56.07616806,85.49944305
O14653,GOSR2,Golgi SNAP receptor complex member 2,GOSR2_HUMAN,9606,24.83654976,24.59504128,17.24355125,42.29834747
O14656,TOR1A,Torsin-1A,TOR1A_HUMAN,9606,20.20448303,20.04065704,15.89126778,34.21398163
O14662,STX16,Syntaxin-16,STX16_HUMAN,9606,42.69585037,68.04508209,41.64725113,83.93307495
O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,ADA10_HUMAN,9606,586.6854248,966.1063843,633.0865479,1544.621826
O14681,EI24,Etoposide-induced protein 2.4 homolog,EI24_HUMAN,9606,30.77139854,47.97828674,24.36748123,74.93585205
O14734,ACOT8,Acyl-coenzyme A thioesterase 8,ACOT8_HUMAN,9606,51.1438179,86.88348389,30.92013741,74.76437378
O14735,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,CDIPT_HUMAN,9606,82.91067505,138.9022369,92.32541656,235.7520599
O14744,PRMT5,Protein arginine N-methyltransferase 5,ANM5_HUMAN,9606,44.8826561,67.09980011,33.44410706,79.83982849
O14745,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,NHRF1_HUMAN,9606,119.3360291,186.2427368,88.60546112,181.4746094
O14773,TPP1,Tripeptidyl-peptidase 1,TPP1_HUMAN,9606,126.8220215,237.0897522,134.1152344,327.4830017
O14775,GNB5,Guanine nucleotide-binding protein subunit beta-5,GNB5_HUMAN,9606,23.02272415,48.74698257,29.3432312,65.45309448
O14787,TNPO2,Transportin-2,TNPO2_HUMAN,9606,18.59147644,23.39812088,9.497238159,20.38458824
O14791,APOL1,Apolipoprotein L1,APOL1_HUMAN,9606,895.6625366,1564.240723,919.0882568,1450.90686
O14818,PSMA7,Proteasome subunit alpha type-7,PSA7_HUMAN,9606,120.0024948,209.7964325,142.848938,247.7511139
O14828,SCAMP3,Secretory carrier-associated membrane protein 3,SCAM3_HUMAN,9606,50.27368927,67.58300018,50.40619659,117.657486
O14874,BCKDK,Branched-chain alpha-ketoacid dehydrogenase kinase,BCKD_HUMAN,9606,54.09293365,65.86284637,46.43320465,103.5100784
O14880,MGST3,"Glutathione S-transferase 3, mitochondrial",MGST3_HUMAN,9606,92.54543304,136.8946686,73.29143524,205.263443
O14908,GIPC1,PDZ domain-containing protein GIPC1,GIPC1_HUMAN,9606,43.078228,65.72934723,41.1029892,62.82928467
O14920,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,IKKB_HUMAN,9606,48.05963516,72.1427002,34.68501282,78.73577881
O14925;Q5SRD1,TIMM23;TIMM23B,Mitochondrial import inner membrane translocase subunit Tim23;Mitochondrial import inner membrane translocase subunit Tim23B,TIM23_HUMAN;TI23B_HUMAN,9606,19.26408958,27.53261566,4.002540588,31.41659927
O14949,UQCRQ,Cytochrome b-c1 complex subunit 8,QCR8_HUMAN,9606,85.66439056,181.8522797,72.07578278,204.3305969
O14950;P19105,MYL12B;MYL12A,Myosin regulatory light chain 12B;Myosin regulatory light chain 12A,ML12B_HUMAN;ML12A_HUMAN,9606,6996.635742,12806.21191,5701.740234,16389.92578
O14960,LECT2,Leukocyte cell-derived chemotaxin-2,LECT2_HUMAN,9606,3177.53833,4815.905273,3355.470703,4104.936035
O14964,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,HGS_HUMAN,9606,81.46828461,114.0999985,52.80512619,121.0536652
O14972,VPS26C,Vacuolar protein sorting-associated protein 26C,VP26C_HUMAN,9606,6.632645607,8.2358675,4.926479816,11.38213539
O14974,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,MYPT1_HUMAN,9606,340.5753174,494.8255005,264.1308594,519.1331787
O14975,SLC27A2,Long-chain fatty acid transport protein 2,S27A2_HUMAN,9606,10.21433353,24.81132507,10.67137241,30.0962677
O14976,GAK,Cyclin-G-associated kinase,GAK_HUMAN,9606,36.31068802,55.4016571,32.5075531,58.50217438
O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,HNRDL_HUMAN,9606,78.66956329,115.872261,70.15301514,134.8329926
O14980,XPO1,Exportin-1,XPO1_HUMAN,9606,147.3245239,255.7096252,111.4686508,243.426178
O14983,ATP2A1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,AT2A1_HUMAN,9606,1174.130249,1439.099731,843.1879883,2550.22168
O15027,SEC16A,Protein transport protein Sec16A,SC16A_HUMAN,9606,26.06767464,47.15470123,20.68323708,52.5333252
O15031,PLXNB2,Plexin-B2,PLXB2_HUMAN,9606,114.7574539,170.1508484,106.8905182,232.1090393
O15067,PFAS,Phosphoribosylformylglycinamidine synthase,PUR4_HUMAN,9606,11.16277122,24.69492912,7.379200459,25.41016769
O15084,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,ANR28_HUMAN,9606,87.02122498,106.6351471,48.38043976,121.4328079
O15111,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,IKKA_HUMAN,9606,47.71585464,96.4285202,35.59283829,105.4397354
O15116,LSM1,U6 snRNA-associated Sm-like protein LSm1,LSM1_HUMAN,9606,55.58557129,102.8095474,22.27479362,99.52726746
O15117,FYB1,FYN-binding protein 1,FYB1_HUMAN,9606,1778.204956,2744.62085,1442.566528,3120.851807
O15120,AGPAT2,1-acyl-sn-glycerol-3-phosphate acyltransferase beta,PLCB_HUMAN,9606,40.3123436,63.6186142,29.7585907,93.15326691
